Time resolution is 1 ps
Time  | out_valid out_line_start out_frame_start  out_pixel
=== Driving 6x4 test frame into Scaler2x (stream mode) ===
              115000 |    1         1              1        0x000000
              125000 |    1         0              0        0x000000
              135000 |    1         0              0        0x000100
              145000 |    1         0              0        0x000100
              155000 |    1         0              0        0x000200
              165000 |    1         0              0        0x000200
              175000 |    1         0              0        0x000300
              185000 |    1         0              0        0x000300
              195000 |    1         0              0        0x000400
              205000 |    1         0              0        0x000400
              215000 |    1         0              0        0x000500
              225000 |    1         0              0        0x000500
              255000 |    1         1              0        0x010000
              265000 |    1         0              0        0x010000
              275000 |    1         0              0        0x010100
              285000 |    1         0              0        0x010100
              295000 |    1         0              0        0x010200
              305000 |    1         0              0        0x010200
              315000 |    1         0              0        0x010300
              325000 |    1         0              0        0x010300
              335000 |    1         0              0        0x010400
              345000 |    1         0              0        0x010400
              355000 |    1         0              0        0x010500
              365000 |    1         0              0        0x010500
              395000 |    1         1              0        0x020000
              405000 |    1         0              0        0x020000
              415000 |    1         0              0        0x020100
              425000 |    1         0              0        0x020100
              435000 |    1         0              0        0x020200
              445000 |    1         0              0        0x020200
              455000 |    1         0              0        0x020300
              465000 |    1         0              0        0x020300
              475000 |    1         0              0        0x020400
              485000 |    1         0              0        0x020400
              495000 |    1         0              0        0x020500
              505000 |    1         0              0        0x020500
              535000 |    1         1              0        0x030000
              545000 |    1         0              0        0x030000
              555000 |    1         0              0        0x030100
              565000 |    1         0              0        0x030100
              575000 |    1         0              0        0x030200
              585000 |    1         0              0        0x030200
              595000 |    1         0              0        0x030300
              605000 |    1         0              0        0x030300
              615000 |    1         0              0        0x030400
              625000 |    1         0              0        0x030400
              635000 |    1         0              0        0x030500
              645000 |    1         0              0        0x030500
